% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
-5.3999999999999995       -6.468385694908612E8
-5.300000000000001        -6.00960397482856E8
-5.199999999999999        -5.550822254748497E8
-5.1000000000000005       -5.092040534668442E8
-4.999999999999999        -4.649048208830934E8
-4.9                      -4.196103068469786E8
-4.799999999999999        -3.7273685338660735E8
-4.7                      -3.258633999262371E8
-4.6                      -2.789899464658653E8
-4.500000000000001        -2.3308428362801805E8
-4.400000000000002        -1.748051162751737E8
-4.300000000000001        -1.1555815829980437E8
-4.200000000000002        -5.6311200324436516E7
-4.1000000000000005       2935757.650932597
-4.000000000000002        6.316178770545584E7
-3.9000000000000004       1.2324959659345673E8
-3.8000000000000016       1.8235833340230075E8
-3.700000000000001        2.4146707021114624E8
-3.6000000000000023       3.005758070199904E8
-3.500000000000001        3.2031807009288573E8
-3.3999999999999995       3.3075627310896355E8
-3.3000000000000007       3.805609498609903E8
-3.1999999999999997       4.3036562661301804E8
-3.100000000000001        4.801703033650446E8
-3                        5.357330898369201E8
-2.9000000000000012       5.909908912569888E8
-2.8                      6.404905829572108E8
-2.7000000000000015       6.899902746574314E8
-2.6000000000000005       7.394899663576534E8
-2.5000000000000018       8.048901380241731E8
-2.400000000000003        8.437166161915891E8
-2.3000000000000016       8.666426143927064E8
-2.200000000000003        8.895686125938237E8
-2.100000000000002        9.124946107949417E8
-2.000000000000003        9.262364058826655E8
-1.900000000000002        9.402346553130478E8
-1.800000000000003        9.63417107856822E8
-1.7000000000000015       9.865995604005969E8
-1.6000000000000028       1.009782012944371E9
-1.5000000000000018       1.0346248305197097E9
-1.4000000000000004       1.0513844932992493E9
-1.3000000000000016       1.0641387506654286E9
-1.2000000000000006       1.0768930080316074E9
-1.1000000000000019       1.089647265397786E9
-1.0000000000000004       1.10723700837951E9
-0.9000000000000018       1.1197073898853378E9
-0.8000000000000006       1.1273422857756212E9
-0.7000000000000017       1.1349771816659045E9
-0.6000000000000005       1.1426120775561876E9
-0.5000000000000018       1.1638880203269274E9
-0.4000000000000006       1.1709053687619276E9
-0.3000000000000017       1.171299700869855E9
-0.20000000000000054      1.1716940329777815E9
-0.10000000000000175      1.1720883650857081E9
-5.967448757360216E-16    1.1726315208386903E9
0.0999999999999982        1.170383722984245E9
0.1999999999999994        1.167987101484744E9
0.29999999999999816       1.165590479985244E9
0.39999999999999936       1.163193858485743E9
0.4999999999999982        1.1609942422148182E9
0.599999999999997         1.146502397252825E9
0.6999999999999982        1.138053958021352E9
0.799999999999997         1.1296055187898786E9
0.8999999999999982        1.1211570795584052E9
0.999999999999997         1.1121140764762468E9
1.099999999999998         1.099965011849128E9
1.1999999999999968        1.0884105110726943E9
1.299999999999998         1.0768560102962604E9
1.399999999999997         1.0653015095198269E9
1.4999999999999982        1.063357652268446E9
1.599999999999997         1.0441848061261281E9
1.699999999999998         1.0154013164587557E9
