% Model,inverter_godo.mph
% Version,COMSOL 6.3.0.420
% Date,"Jan 29 2026, 10:56"
% Dimension,3
% Nodes,21605
% Expressions,1
% Description,Slice
% x,y,z,Electric field; z-component
-11.157281197692832,-1.8549163610566262,0.5000000000000009,7986207.470748656
-11.63249024110933,-2.152724922283926,0.5000000000000009,7644479.774334337
-11.999698303749911,-2.6807179069272062,0.5000000000000009,7750755.066863405
-11.713681455965506,-2.232826293255473,0.500000000000001,7591781.960153022
-11.615797413655288,-2.305147029246836,0.5000000000000009,7890438.734668656
-12.093289418956827,-2.6131999911159425,0.5000000000000009,7480491.81010145
-12.463907657105555,-3.1362299812783907,0.500000000000001,7481202.657240696
-12.16917619447822,-2.6880822374454563,0.5000000000000009,7418706.134482546
-12.074567628067616,-2.755422479809388,0.5000000000000009,7700623.4390641935
-12.553910747625695,-3.0736600226983315,0.500000000000001,7236122.765060201
-12.09868413412387,-1.8135559060924178,0.500000000000001,7765614.338467009
-11.794109630672395,-1.3640534507101638,0.500000000000001,7875495.335698023
-11.699321992139172,-1.43683669154914,0.500000000000001,7871036.685471519
-12.18940274361715,-1.7455922690664705,0.5000000000000009,7769573.478156364
-12.581898133185085,-2.270693629599481,0.500000000000001,7539498.572625501
-12.268621263412644,-1.8209361895664333,0.500000000000001,7708660.361573335
-12.17688176252912,-1.8887216090703993,0.5000000000000009,7715910.621835308
-12.669255860760172,-2.2076952699779433,0.5000000000000009,7532266.175208942
-12.661979453286175,-1.4018876344006963,0.500000000000001,7842796.116028791
-12.330156866788716,-0.95052045701985,0.5000000000000009,8009280.2712271195
-12.241302732949105,-1.0187522717088306,0.500000000000001,8013912.945390901
-12.74667530356847,-1.3384596395052926,0.5000000000000009,7838039.989926386
-11.171512613711542,-1.6922347654405154,0.5000000000000009,8132297.122425138
-11.709371240262543,-1.2834742210083518,0.500000000000001,8144068.679791507
-12.247590658763329,-0.8747136765761822,0.500000000000001,8070753.810255747
-11.615714408116842,-1.356451561140056,0.500000000000001,8158592.868253276
-12.65469491333839,-2.340651193203909,0.5000000000000009,7481267.722815933
-12.159760857437304,-0.9431242527057988,0.500000000000001,8098276.987096014
